datetime,Direction,Price,ReserveType
2024-01-02 20:15:00+01:00,Up,88.51,aFRR
2024-01-02 20:15:00+01:00,Down,7.52,aFRR
2024-01-02 20:30:00+01:00,Up,94.0,aFRR
2024-01-02 20:30:00+01:00,Down,4.52,aFRR
2024-01-02 20:45:00+01:00,Down,-6.24,aFRR
2024-01-02 20:45:00+01:00,Up,0.0,aFRR
2024-01-02 21:00:00+01:00,Down,27.52,aFRR
2024-01-02 21:00:00+01:00,Up,0.0,aFRR
2024-01-02 21:15:00+01:00,Down,18.52,aFRR
2024-01-02 21:15:00+01:00,Up,0.0,aFRR
2024-01-02 21:30:00+01:00,Up,0.0,aFRR
2024-01-02 21:30:00+01:00,Down,-0.1,aFRR
2024-01-02 21:45:00+01:00,Up,87.51,aFRR
2024-01-02 21:45:00+01:00,Down,0.0,aFRR
2024-01-02 22:00:00+01:00,Down,0.0,aFRR
2024-01-02 22:00:00+01:00,Up,1832.2,aFRR
2024-01-02 22:15:00+01:00,Up,74.45,aFRR
2024-01-02 22:15:00+01:00,Down,27.52,aFRR
2024-01-02 22:30:00+01:00,Up,0.0,aFRR
2024-01-02 22:30:00+01:00,Down,48.52,aFRR
2024-01-02 22:45:00+01:00,Up,67.6,aFRR
2024-01-02 22:45:00+01:00,Down,64.52,aFRR
2024-01-02 23:00:00+01:00,Down,0.0,aFRR
2024-01-02 23:00:00+01:00,Up,1832.2,aFRR
2024-01-02 23:15:00+01:00,Down,0.0,aFRR
2024-01-02 23:15:00+01:00,Up,100.51,aFRR
2024-01-02 23:30:00+01:00,Down,0.0,aFRR
2024-01-02 23:30:00+01:00,Up,0.0,aFRR
2024-01-02 23:45:00+01:00,Up,0.0,aFRR
2024-01-02 23:45:00+01:00,Down,-40.0,aFRR
2024-01-03 00:00:00+01:00,Up,1832.2,aFRR
2024-01-03 00:00:00+01:00,Down,-248.76,aFRR
2024-01-03 00:15:00+01:00,Up,1832.2,aFRR
2024-01-03 00:15:00+01:00,Down,-15.09,aFRR
2024-01-03 00:30:00+01:00,Up,89.73,aFRR
2024-01-03 00:30:00+01:00,Down,-15.09,aFRR
2024-01-03 00:45:00+01:00,Up,94.0,aFRR
2024-01-03 00:45:00+01:00,Down,0.0,aFRR
2024-01-03 01:00:00+01:00,Up,1832.2,aFRR
2024-01-03 01:00:00+01:00,Down,0.0,aFRR
2024-01-03 01:15:00+01:00,Down,0.0,aFRR
2024-01-03 01:15:00+01:00,Up,94.0,aFRR
2024-01-03 01:30:00+01:00,Down,0.0,aFRR
2024-01-03 01:30:00+01:00,Up,84.0,aFRR
2024-01-03 01:45:00+01:00,Down,-7.7,aFRR
2024-01-03 01:45:00+01:00,Up,75.0,aFRR
2024-01-03 02:00:00+01:00,Up,91.51,aFRR
2024-01-03 02:00:00+01:00,Down,0.0,aFRR
2024-01-03 02:15:00+01:00,Down,-13.45,aFRR
2024-01-03 02:15:00+01:00,Up,73.19,aFRR
2024-01-03 02:30:00+01:00,Up,84.51,aFRR
2024-01-03 02:30:00+01:00,Down,-207.91,aFRR
2024-01-03 02:45:00+01:00,Down,-248.76,aFRR
2024-01-03 02:45:00+01:00,Up,106.51,aFRR
2024-01-03 03:00:00+01:00,Up,84.51,aFRR
2024-01-03 03:00:00+01:00,Down,-159.7,aFRR
2024-01-03 03:15:00+01:00,Down,-98.08,aFRR
2024-01-03 03:15:00+01:00,Up,0.0,aFRR
2024-01-03 03:30:00+01:00,Down,-41.08,aFRR
2024-01-03 03:30:00+01:00,Up,0.0,aFRR
2024-01-03 03:45:00+01:00,Up,0.0,aFRR
2024-01-03 03:45:00+01:00,Down,-37.7,aFRR
2024-01-03 04:00:00+01:00,Up,0.0,aFRR
2024-01-03 04:00:00+01:00,Down,-8.81,aFRR
2024-01-03 04:15:00+01:00,Up,0.0,aFRR
2024-01-03 04:15:00+01:00,Down,-13.45,aFRR
2024-01-03 04:30:00+01:00,Up,0.0,aFRR
2024-01-03 04:30:00+01:00,Down,-3.58,aFRR
2024-01-03 04:45:00+01:00,Up,0.0,aFRR
2024-01-03 04:45:00+01:00,Down,-19.7,aFRR
2024-01-03 05:00:00+01:00,Up,0.0,aFRR
2024-01-03 05:00:00+01:00,Down,-28.45,aFRR
2024-01-03 05:15:00+01:00,Down,-98.0,aFRR
2024-01-03 05:15:00+01:00,Up,0.0,aFRR
